No.,Plant,Electrical Room,Motor Name,Capacity [kW],Voltage [V],Current [A],RPM,Maker,Serial Number,When ?,Check ?,Check Date,Check Status,REASON,Remark,frame,Type,"Installed
  Qty",Standby,Spare,"Shaft 
 Dia","Base 
 Width","Base 
 Length",C,E,H,Operation,Remark
51,Coke,CPCT ER,BF 06 - Bunker Dedusting Unit,250,6000,30.4,1481,Xiangtan,J1213898,NOT EVERY TIME,NOT YET,2/24/2020,OK,,,355,YKK355-4,1,0,0,100,630,900,315,210,355,1 running,
52,Coke,CPCT ER,Coal Crusher Main Motor 1 (CW),1000,6000,117,1485,Helmke,1.10E+10,NOT EVERY TIME,NOT YET,,NOT CHECK,Load: < 60%,,500,DOR500-04,1,1,0,130,900,1250,315,250,500,1 running 1 standby,
53,Coke,CPCT ER,Coal Crusher Main Motor 2 (CW),1000,6000,117,1485,Helmke,1.10E+10,NOT EVERY TIME,NOT YET,2/24/2020,NOT CHECK,Load: < 60%,,500,DOR500-04,1,,0,130,900,1250,315,250,500,,
54,Coke,COB ER,ECS Fan,1600,6000,187.5,993,Xiangtan,J1213893,NOT EVERY TIME,NOT YET,2/24/2020,OK,,,630,YKK630-6,1,0,1,180,1120,1600,530,300,630,1 running,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,BF,BF MER,Body Stave Circulation Pump A,370,6000,47.1,989,Hyundai,20114887RMHH79001,EVERY TIME,NOT YET,4/14/2020,OK,,,315,HLE5 315-68E,1,1,0,110,610,900,224,210,315,2 running 1 standby,
56,BF,BF MER,Body Stave Circulation Pump B,370,6000,47.1,989,Hyundai,20114887RMHH79002,EVERY TIME,NOT YET,2/26/2020,OK,,,315,HLE5 315-68E,1,,,110,610,900,224,210,315,,
57,BF,BF MER,Body Stave Circulation Pump C,370,6000,47.1,989,Hyundai,20114887RMHH79003,EVERY TIME,NOT YET,2/26/2020,OK,,,315,HLE5 315-68E,1,,,110,610,900,224,210,315,,
58,BF,BF MER,Cooling Tower Pump A,600,6000,108.8,739,Hyundai,20114887RMHE68001,EVERY TIME,NOT YET,2/26/2020,OK,,,450,HRQ3 453-88E,1,1,0,30,850,1250,200,250,450,1 running 1 standby,
59,BF,BF MER,Cooling Tower Pump B,600,6000,108.8,739,Hyundai,20114887RMHE68002,EVERY TIME,NOT YET,4/14/2020,OK,,,450,HRQ3 453-88E,1,,,30,850,1250,200,250,450,,
60,BF,BF MER,COG Booster A,250,6000,27.7,2966,Hyundai,20121753RMH519001,EVERY TIME,NOT YET,,OK,,,315,HNE5 314-28E (EX nA ? T3),1,1,0,75,568,610,218,140,315,1 running 1 standby,
61,BF,BF MER,COG Booster B,250,6000,27.7,2966,HYUNDAI,20121753RMH519002,EVERY TIME,NOT YET,2/26/2020,OK,,,315,HNE5 314-28E (EX nA ? T3),1,,,75,568,610,218,140,315,,
